#{"t_start": 1774025425.9025102, "env_id": "ColoredChestKuka-v0"}
r,l,t
32.820072,150,125.105684
1015.120435,75,125.166268
63.468974,150,125.252272
1029.034648,84,125.312002
26.930125,150,125.39536
54.699162,150,125.483159
0.253841,150,125.565694
33.086835,150,125.650814
1013.379975,77,126.157922
23.753622,150,126.243364
31.0747,150,126.331501
9.702859,150,126.415428
28.824889,150,126.500146
50.860028,150,126.5847
35.365091,150,126.668791
54.519453,150,126.75605
1011.584731,76,126.81933
32.200948,150,126.903754
1016.487279,68,126.955999
31.204807,150,127.04323
1009.334219,78,127.100196
8.235414,150,127.184049
40.851571,150,127.267927
30.661853,150,127.351514
1009.151243,75,127.942104
1011.118194,77,127.999995
66.684035,150,128.088631
25.184629,150,128.172707
1014.133645,84,128.23505
51.082418,150,128.321508
44.948079,150,128.410899
1036.069445,88,128.533044
1028.439671,85,128.602085
1008.775705,74,128.65688
-3.733279,150,128.742365
1014.044959,72,128.796291
0.740012,150,128.87988
1039.69214,120,128.954056
44.637781,150,129.035733
39.472789,150,129.124689
1010.939783,77,129.185232
82.82054,150,129.730054
24.903814,150,129.815944
64.083186,150,129.905131
1018.762408,91,129.967606
36.457072,150,130.054952
24.348574,150,130.137617
27.302303,150,130.220439
46.096115,150,130.308616
16.928335,150,130.394915
60.790419,150,130.478353
1013.744223,69,130.529908
55.713046,150,130.617197
47.818827,150,130.707104
1012.142742,74,130.762616
38.207355,150,130.849577
13.874082,150,131.396785
1017.246308,72,131.450258
1011.417728,78,131.50535
30.451998,150,131.588302
1024.11035,88,131.651323
39.969969,150,131.738814
55.736655,150,131.825684
28.740973,150,131.913825
1007.13915,75,131.968857
23.910416,150,132.055985
21.752632,150,132.142895
1015.810264,71,132.195259
