#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
84.861464,150,114.84758
1017.423112,80,114.906567
1022.994768,87,114.966817
52.847091,150,115.054506
1011.785147,75,115.111273
1011.746339,72,115.16641
39.722374,150,115.254928
43.254467,150,115.342131
1009.550343,75,115.480257
52.229083,150,115.569362
53.171658,150,115.657342
1008.494048,77,115.716132
1016.087636,81,115.774927
56.733968,150,115.860375
1012.644427,81,115.922509
52.380337,150,116.097408
1014.983469,74,116.155863
58.152764,150,116.712312
52.239951,150,116.80029
56.375534,150,116.886958
61.251807,150,116.975205
1007.87114,80,117.036382
28.682231,150,117.122775
1017.710277,69,117.178316
15.286945,150,117.267852
1015.757542,67,117.41352
36.957008,150,117.521664
21.874585,150,117.606088
45.361924,150,117.692958
28.958336,150,117.780429
74.348072,150,117.867075
1018.01795,76,117.922197
1020.08113,75,117.979676
55.543454,150,118.535083
53.923535,150,118.62349
1012.150462,79,118.682255
34.513713,150,118.770183
59.391135,150,118.858452
21.727527,150,118.944327
1009.888077,74,119.000428
40.461578,150,119.088757
59.635872,150,119.177266
1015.922071,81,119.300988
38.13823,150,119.398881
1024.050407,75,119.45742
36.866282,150,119.542834
26.089964,150,119.630611
1008.89654,76,119.687262
51.201709,150,119.775168
1009.059179,72,119.831707
29.029538,150,120.392351
39.180805,150,120.479028
-19.295685,150,120.565451
47.125038,150,120.655271
52.019735,150,120.744063
18.873182,150,120.827194
39.893354,150,120.912945
9.48874,150,121.090585
33.102517,150,121.178928
27.976193,150,121.266263
32.751487,150,121.351375
22.044849,150,121.434734
46.248483,150,121.519813
30.319882,150,121.611499
1015.052832,89,122.146947
56.508696,150,122.236504
54.409021,150,122.321275
7.440677,150,122.406336
61.967575,150,122.492908
20.843427,150,122.579217
35.874864,150,122.666078
32.002402,150,122.860578
33.567751,150,122.982001
1014.464541,74,123.042144
35.176375,150,123.12816
47.492562,150,123.212732
1012.509511,77,123.269371
-23.82823,150,123.353758
16.060763,150,123.44044
56.416591,150,123.995078
1018.279751,76,124.054976
38.662395,150,124.141722
61.905443,150,124.230751
1011.761272,74,124.288207
2.125306,150,124.374876
40.873445,150,124.460557
82.278826,150,124.548063
1025.798328,88,124.659156
36.862856,150,124.774874
46.061033,150,124.86078
45.667115,150,124.948027
39.082577,150,125.037766
1006.780634,83,125.097991
67.320913,150,125.185094
42.153378,150,125.733587
59.575022,150,125.820975
64.192475,150,125.907235
51.80797,150,125.993393
19.626785,150,126.081847
57.022107,150,126.168582
-15.643525,150,126.253676
77.609702,150,126.408587
63.892603,150,126.508866
40.941413,150,126.593926
52.172031,150,126.679747
1019.130001,70,126.73473
51.080988,150,126.823841
1010.536397,85,126.968774
67.186399,150,127.058815
79.865853,150,127.614587
1013.175726,75,127.673793
67.015664,150,127.759523
29.35757,150,127.847423
18.61818,150,127.93585
23.208453,150,128.01944
-8.574735,150,128.107317
24.842784,150,128.196604
22.37593,150,128.364312
51.450591,150,128.461127
38.415206,150,128.548374
15.52938,150,128.634083
1012.824651,80,128.694395
1023.943308,85,128.757173
40.818634,150,128.842948
